Gene,Rate01,Rate10,Rate12,Rate21,Eject,Decay
ABCB6,0.00010398880764907776,0.0001058018946631074,0.1648476841850451,6.49960818040573e-5,1.0452879533625589e-5,0.0016490985069047
ABCB7,0.001676772178473284,0.0708221904896564,0.0018610370458993068,1.1121956809566406e-5,0.0004777047659057757,0.0011470867208061392
ABCB8,0.022913158057008217,0.0716225408436314,0.010748593771786722,0.009548390273799239,0.000925170115421192,0.00043597170440177037
ABCC10,0.04900180928912966,0.0035384448282295986,0.3239647232383194,0.00010533176661081562,0.00014843607177459538,0.0018127138444746927
ABCC1,0.0008956804078557344,0.08835036970914616,0.032435184702402794,0.00019782101828659415,0.0006259020452540459,0.0015134346973084435
ABCC3,0.03939524272413213,0.06406062883262213,0.0019051199612157364,0.005022569658728974,0.004452556108555632,0.0008720703963624788
ABCC4,0.007524536174796974,0.00022507633004115955,0.0006319565793273718,0.0005943573273677794,0.0007332030981390343,0.0013051962554854663
ABCC5-AS1,0.0019255988728911037,0.003730687919416415,0.1024612260640083,0.00017213649331845117,1.3529580187300867e-5,0.05318217870176201
ABCC5,0.017326321641901232,0.0028469592399842725,5.559403067771361e-6,2.323124053222878e-6,0.00030492010859591446,0.0015170263315875479
ABCC6,3.8392510947541344e-5,0.006125510965264076,0.03287099095502103,1.319796530113475e-5,5.1039505371190754e-5,0.0030511606353712884
ABCD1,0.03396406686040315,0.0021627854187284056,0.23593004728884942,2.2903015705791994e-5,5.397447034595567e-5,0.0010750211099862367
ABCD3,0.08508075625891616,0.037704809062204324,0.0028332671919502252,0.008475978367033772,0.005348381120465926,0.0011029728413630643
ABCD4,0.08635405606675768,0.03495270130889042,0.004207205153477167,0.01946499355269164,0.005199706203400665,0.0020394730118057877
ABCE1,0.06978776440970721,0.004258708862307697,0.002869299453839885,0.005186390204737727,0.0181900358364517,0.0013353974614808558
ABCF2,0.04218901363756603,0.07699620695355197,0.0022314820754958,0.0004139184567426282,0.0019208429347437087,0.0007823514815352256
ABCF3,0.00017019591744470025,0.00106124247699115,4.310325332809051e-5,1.3053009269456053e-6,0.0010667415091033118,0.0023967974152533426
ABCG1,0.03744675372023669,0.022333015105885586,0.08760256705027791,0.00038648215918279374,9.932595147025421e-6,0.0020459476319415974
ABCG2,2.6539455237304028e-5,0.010631265114214243,0.007371265741760925,1.539017160111173e-5,0.00011654171377350559,0.0013977351564365133
ABHD10,0.27257566835392805,0.0037288808306913395,0.004605787084268129,3.2064524183029643,3.28605602353557,0.0021247940957788898
