Gene,Eject,Decay
ADAMTS2,1.0898400982118298e-5,0.00033337279698350493
ADAMTS6,4.4339025473131807e-5,0.0029160298354680694
ADAMTS7,2.168673074059256e-5,0.0007573083015944912
ADAMTSL4,8.539632940120792e-6,0.0010530435338841058
ADAMTSL5,0.0004004908018332095,0.003760799279977188
ADAP1,0.00012166658101249084,0.0010059811313071177
ADAP2,0.0009229138996611679,0.002423801839323622
ADARB1,0.0002656186725389173,0.0023929938069449973
ADAR,0.00272519859214067,0.0020429910641249723
ADAT1,0.0005887665625449478,0.0025887350410855204
ADAT2,0.0007364419855545359,0.0029638216648550076
ADAT3,0.0001996761425145528,0.008564370038208603
ADA,0.00015587216772689153,0.0004077930500933967
ADCK1,6.775059806246515e-5,0.0014373325646435356
ADCK2,0.000499609018353912,0.002562364095258586
ADCK3,0.00021106083677078596,0.001297316214826485
ADCK4,0.0004001345126728322,0.0018445453159991825
ADCK5,6.646266471721678e-5,0.00044206269580148756
ADCY3,0.0001144756687737342,0.00074626782210175
ADCY6,9.669434398522186e-5,0.0009884867608564484
ADCY7,0.00018339173901953717,0.0014343854046742145
ADCY9,0.0001272389164224118,0.003061492406294058
ADD1,0.0004780020379529436,0.0006109964210428094
ADH4,0.0,0.0100367018205643
ADH5,0.001576539753293839,0.00031009232832261783
ADHFE1,2.3099994426722437e-6,0.002278814655857691
ADIPOR1,6.861532751917451e-5,5.0706700913066504e-5
ADK,4.802331574227545e-5,2.6873363346430432e-5
ADM2,0.00026888247794563567,0.00791798687315505
ADM5,3.690427059067921e-5,0.0012341037800703422
ADM,0.010760871560351373,0.03166101884624049
ADNP2,0.0034888664739254893,0.007060161070244044
ADNP,0.008800392718410273,0.008184282066731188
ADORA1,5.615028031661542e-5,0.003956589562014908
ADORA2A-AS1,0.0,0.002717039528072166
ADORA2A,0.0,0.004276780583142153
ADORA2B,0.006625691575963745,0.005148509734353492
ADPGK-AS1,7.74234401267487e-7,0.0030551283271889446
ADPGK,0.0004387433233424258,0.0009673467834120631
ADPRHL1,0.00011961629748240465,0.0009978983394383378
ADPRHL2,0.0033525370438584647,0.004155375921349921
ADPRH,4.034067266351085e-5,0.002792706899002891
ADPRM,0.0005017134797740331,0.005624322088531905
ADRA1D,2.8970668104537258e-6,0.002857956442951776
ADRA2B,7.6571401832865e-6,0.005035845861554983
ADRA2C,0.0009136280236857543,0.0014123614387200581
ADRB1,0.00030458836008231266,0.027736286265795787
ADRB2,0.0001906322380172051,0.028932107773403597
ADRBK2,0.0003504692003609382,0.002655478193800864
ADRM1,0.016065104558974936,0.0024986489436953103
ADSL,0.0026569812637519965,0.0010092986527748364
ADSSL1,4.460286879010109e-5,0.0009462522464706418
ADSS,0.0018336733164268444,0.0013704552519818308
AEBP1,0.0,0.0013214978170524433
AEN,0.0028825010619403127,0.00958565273861475
AFAP1-AS1,8.006536205057514e-7,0.003159378296100115
AFAP1L1,2.6550707187035807e-5,0.0005372773981712293
AFAP1L2,2.90381343357168e-5,0.0022310338628164558
AFAP1,0.0005736944524508323,0.003554195195889826
AFF1,0.0013513470219999567,0.006877048558308169
AFF4,0.0019415501711532715,0.003296782362499443
AFG3L2,0.002830301636527805,0.0020160771693670475
AFMID,0.0005421231867517334,0.0013927161231527807
AFTPH,0.0019202354044396215,0.0043095694151229795
AGAP1,0.0013969010517788092,0.003364873055483401
AGAP3,0.0011729698679017015,0.003242771294095351
AGAP4,2.3793869458407046e-5,0.00938906010118612
AGAP6,0.00011996715435068696,0.0024784837254170798
AGA,0.0001058861727986855,0.0011416033981389148
AGBL3,0.00010262087696606548,0.004132061057871393
AGBL5-AS1,1.3321459062619293e-6,0.0026283240156574905
AGFG1,0.0025249078645453358,0.0032713373491560097
AGFG2,0.00018139977054903195,0.0025090452561383186
AGGF1,0.0024354874377430316,0.0029468424370820614
AGK,0.00019746090238188332,0.000793060884107705
AGL,0.001202980124154319,0.0013739390748126645
