"","Gene"
"373","ENSMUSG00000004789"
"374","ENSMUSG00000004798"
"375","ENSMUSG00000004843"
"376","ENSMUSG00000004846"
"377","ENSMUSG00000004849"
"378","ENSMUSG00000004864"
"379","ENSMUSG00000004865"
"380","ENSMUSG00000004880"
"381","ENSMUSG00000004891"
"382","ENSMUSG00000004897"
"383","ENSMUSG00000004929"
"384","ENSMUSG00000004931"
"385","ENSMUSG00000004934"
"386","ENSMUSG00000004936"
"387","ENSMUSG00000004937"
"388","ENSMUSG00000004945"
"389","ENSMUSG00000004951"
"390","ENSMUSG00000004952"
"391","ENSMUSG00000004994"
"392","ENSMUSG00000004996"
"393","ENSMUSG00000005034"
"394","ENSMUSG00000005043"
"395","ENSMUSG00000005054"
"396","ENSMUSG00000005069"
"397","ENSMUSG00000005078"
"398","ENSMUSG00000005087"
"399","ENSMUSG00000005103"
"400","ENSMUSG00000005124"
"401","ENSMUSG00000005125"
"402","ENSMUSG00000005142"
"403","ENSMUSG00000005198"
"404","ENSMUSG00000005204"
"405","ENSMUSG00000005225"
"406","ENSMUSG00000005233"
"407","ENSMUSG00000005262"
"408","ENSMUSG00000005299"
"409","ENSMUSG00000005312"
"410","ENSMUSG00000005354"
"411","ENSMUSG00000005357"
"412","ENSMUSG00000005360"
"413","ENSMUSG00000005370"
"414","ENSMUSG00000005371"
"415","ENSMUSG00000005374"
"416","ENSMUSG00000005378"
"417","ENSMUSG00000005397"
"418","ENSMUSG00000005410"
"419","ENSMUSG00000005413"
"420","ENSMUSG00000005417"
"421","ENSMUSG00000005442"
"422","ENSMUSG00000005447"
"423","ENSMUSG00000005469"
"424","ENSMUSG00000005470"
"425","ENSMUSG00000005481"
"426","ENSMUSG00000005483"
"427","ENSMUSG00000005501"
"428","ENSMUSG00000005505"
"429","ENSMUSG00000005506"
"430","ENSMUSG00000005514"
"431","ENSMUSG00000005533"
"432","ENSMUSG00000005566"
"433","ENSMUSG00000005575"
"434","ENSMUSG00000005609"
"435","ENSMUSG00000005610"
"436","ENSMUSG00000005611"
"437","ENSMUSG00000005615"
"438","ENSMUSG00000005656"
"439","ENSMUSG00000005667"
"440","ENSMUSG00000005683"
"441","ENSMUSG00000005687"
"442","ENSMUSG00000005698"
"443","ENSMUSG00000005718"
"444","ENSMUSG00000005732"
"445","ENSMUSG00000005779"
"446","ENSMUSG00000005802"
"447","ENSMUSG00000005803"
"448","ENSMUSG00000005813"
"449","ENSMUSG00000005823"
"450","ENSMUSG00000005846"
"451","ENSMUSG00000005871"
"452","ENSMUSG00000005873"
"453","ENSMUSG00000005881"
"454","ENSMUSG00000005882"
"455","ENSMUSG00000005893"
"456","ENSMUSG00000005936"
"457","ENSMUSG00000005968"
"458","ENSMUSG00000005973"
"459","ENSMUSG00000005981"
"460","ENSMUSG00000005982"
"461","ENSMUSG00000006005"
"462","ENSMUSG00000006010"
"463","ENSMUSG00000006021"
"464","ENSMUSG00000006024"
"465","ENSMUSG00000006050"
"466","ENSMUSG00000006095"
"467","ENSMUSG00000006127"
"468","ENSMUSG00000006169"
"469","ENSMUSG00000006191"
"470","ENSMUSG00000006205"
"471","ENSMUSG00000006215"
"472","ENSMUSG00000006219"
"473","ENSMUSG00000006221"
