pos	Md	Mn	gt
43	4.02719159766745	6.84452156216095	DDMSO
44	4.44731590740921	7.81882444523256	DDMSO
45	6.42790193904894	8.78743221253082	DDMSO
46	7.14811504146339	10.0964326687439	DDMSO
47	9.18871883163765	11.7523971013027	DDMSO
48	10.7491805535356	13.1564621823479	DDMSO
49	14.2302105485388	15.5650580686463	DDMSO
50	18.1313648532837	18.5650698237158	DDMSO
51	10.637008122553	13.2618509543511	DDMSO
52	6.89142815841905	11.8237901108892	DDMSO
53	5.30517084442406	10.2467979400676	DDMSO
54	4.02732800166412	8.86088279686535	DDMSO
55	2.85941228692492	7.85019052736153	DDMSO
56	2.92169782866046	7.17086734546078	DDMSO
57	2.73451697592751	6.70593201406547	DDMSO
58	2.62671471336311	6.26500807709458	DDMSO
59	2.60610444836635	5.96309318431125	DDMSO
60	2.66708129218084	5.68914377404802	DDMSO
61	2.61599143177711	5.26804692277709	DDMSO
62	2.36345793953247	5.06837485593471	DDMSO
63	2.14014543847545	4.79809816549405	DDMSO
64	2.35657963657668	4.54856303214933	DDMSO
65	2.11382193548326	4.42015990143729	DDMSO
66	1.84006058087741	4.36036359265875	DDMSO
67	1.7700668887597	4.24279294433769	DDMSO
68	2.02142135887509	4.0789797031603	DDMSO
69	1.90834908873289	3.97226876470237	DDMSO
70	1.89193035786536	3.83479196707043	DDMSO
71	1.91032133872125	3.74964786706522	DDMSO
72	1.93390555277953	3.67523322692436	DDMSO
73	1.85974310077871	3.54077006231987	DDMSO
74	1.80303349597506	3.40423660708347	DDMSO
75	1.73123902378143	3.32868008722689	DDMSO
76	1.99072987815261	3.32469027156283	DDMSO
77	1.93701628856364	3.23840927657682	DDMSO
78	1.82318096680387	3.26471690570211	DDMSO
79	1.7593084370427	3.17919151145625	DDMSO
80	1.87413312882095	3.15084532784647	DDMSO
81	1.76038709815348	3.07184960947911	DDMSO
82	1.82318096680387	3.07787895937199	DDMSO
83	1.75676980710468	3.02164450374016	DDMSO
84	1.79888391651594	2.99299298270868	DDMSO
85	1.60926370353173	3.02161495311353	DDMSO
86	1.7067550083259	3.0936592699133	DDMSO
87	1.59753151393401	3.00829052018492	DDMSO
88	1.56659641612637	2.95575452420708	DDMSO
89	1.57539325366166	2.97308295104681	DDMSO
90	1.66603917948814	3.03472668892991	DDMSO
91	1.44641337782139	2.9960308594147	DDMSO
92	1.51294766305813	3.08150624355212	DDMSO
93	1.69737723355488	3.19355505267619	DDMSO
94	1.80547248924884	3.19561815034924	DDMSO
95	1.86945267014276	3.18531980303831	DDMSO
96	1.79201959879718	3.17133853684323	DDMSO
97	1.59998915609021	3.12294132497525	DDMSO
98	1.69737723355488	3.12668084117011	DDMSO
99	1.7894183563075	3.07014925830745	DDMSO
100	1.60307173228613	3.06858691136932	DDMSO
101	1.73853093936821	3.0125417683701	DDMSO
102	1.69040308260867	3.0712615988028	DDMSO
103	1.66479068517378	3.09404004625796	DDMSO
104	1.75607515712165	3.05982205197177	DDMSO
105	1.77704754617478	3.113448591795	DDMSO
106	1.66671389642734	3.24250491196524	DDMSO
107	1.77704754617478	3.24976032852723	DDMSO
108	1.70291351022693	3.07485194536088	DDMSO
109	1.75884608842473	3.0120579242148	DDMSO
110	1.77405433315323	3.08766399350453	DDMSO
111	1.68077318268444	3.04762309983819	DDMSO
112	1.61322901295854	3.02451952793712	DDMSO
113	1.59669885912637	3.06423363082788	DDMSO
114	1.55280845067544	3.02616705688542	DDMSO
115	1.7067550083259	3.08434105854122	DDMSO
116	1.89909133010019	3.26447840994763	DDMSO
117	1.92125099838325	3.25018659804182	DDMSO
118	1.8101509865705	3.29521878216601	DDMSO
119	1.73960102148329	3.33655279215744	DDMSO
120	1.92007020042026	3.36267928241895	DDMSO
121	1.77064839494008	3.2997120922083	DDMSO
122	1.99647308536946	3.36831661171869	DDMSO
123	2.07416415713877	3.42063695407239	DDMSO
124	1.98615468964809	3.43302399141528	DDMSO
125	1.84067841391875	3.33183566710609	DDMSO
126	1.85456803703184	3.37778518774246	DDMSO
127	1.92766067266446	3.47375700934337	DDMSO
128	1.82318096680387	3.58600873207911	DDMSO
129	1.90165472049368	3.666279303892	DDMSO
130	1.7894183563075	3.68091891696718	DDMSO
131	1.84834910212133	3.68051300607079	DDMSO
132	1.84486405495367	3.68473870466207	DDMSO
133	1.88665689384353	3.66675165999419	DDMSO
134	2.04693334662989	3.54158594247569	DDMSO
135	2.12003905882292	3.50991853697075	DDMSO
136	1.79888391651594	3.60173718924345	DDMSO
137	1.88298206837222	3.62055070609401	DDMSO
138	1.95642303794401	3.81953213685239	DDMSO
139	2.19789170909236	3.90412806657808	DDMSO
140	1.9014029384471	3.8355057880567	DDMSO
141	2.03436817889795	3.80232040892151	DDMSO
142	1.92779104060792	3.84074697924477	DDMSO
143	2.17095485949147	3.98087402593286	DDMSO
144	2.27704737736802	4.1479384236099	DDMSO
145	2.44420147075434	4.3015555831267	DDMSO
146	2.42494828232813	4.3065723576688	DDMSO
147	2.20444691224511	4.18631799892469	DDMSO
148	2.38649560909699	4.28810950070826	DDMSO
149	2.43901954895673	4.41855940931641	DDMSO
150	2.38601672818094	4.5101099926302	DDMSO
151	4.38729814887467	6.03669129400265	DDMSO
152	4.86744021715097	6.64738293923729	DDMSO
153	5.76770659516903	7.14636269814851	DDMSO
154	5.46761780249634	7.56385849291796	DDMSO
155	6.00777762930718	7.92046035749543	DDMSO
156	6.06779538784172	8.20828274696397	DDMSO
157	6.00777762930718	8.38965028005374	DDMSO
158	6.48791969758348	8.43696354955542	DDMSO
159	6.24784866344533	8.23369172502969	DDMSO
160	6.54793745611802	8.05933356519943	DDMSO
161	6.8480262487907	7.958573824594	DDMSO
162	6.78800849025616	7.92878398824109	DDMSO
163	6.48791969758348	7.8880420061702	DDMSO
164	6.24784866344533	7.74873071263748	DDMSO
165	6.90804400732524	7.67162760678289	DDMSO
166	6.54793745611802	7.54020185816712	DDMSO
167	6.06779538784172	7.41622356863957	DDMSO
168	6.18783090491079	7.3189685146639	DDMSO
169	5.82772435370357	7.31721617134902	DDMSO
170	5.04749349275458	7.29750230905665	DDMSO
171	5.28756452689273	7.10255411527659	DDMSO
172	5.04749349275458	6.87212096937026	DDMSO
173	5.2275467683582	6.56721323258166	DDMSO
174	4.80742245861644	6.45024431631362	DDMSO
175	4.80742245861644	6.29779044791932	DDMSO
176	4.56735142447829	6.10722311242645	DDMSO
177	4.86744021715097	5.85488567508416	DDMSO
178	4.7474047000819	5.55216836743916	DDMSO
179	4.56735142447829	5.40015258487358	DDMSO
180	4.38729814887467	5.31954479238924	DDMSO
181	4.2672626318056	5.35021080039959	DDMSO
182	4.08720935620199	5.35152505788574	DDMSO
183	4.38729814887467	5.32918268062106	DDMSO
184	4.08720935620199	5.30990690415741	DDMSO
185	3.7871205635293	5.24331785819209	DDMSO
186	3.84713832206384	5.22228973841356	DDMSO
187	3.72710280499476	5.14299620341538	DDMSO
188	3.72710280499476	5.00105639491034	DDMSO
189	3.60706728792569	4.82100311930673	DDMSO
190	3.72710280499476	4.78464199552303	DDMSO
191	3.60706728792569	4.76711856237426	DDMSO
192	3.84713832206384	4.77193750649018	DDMSO
193	3.84713832206384	4.71148166212692	DDMSO
194	3.48703177085661	4.54982799132952	DDMSO
195	3.66708504646023	4.5336188156669	DDMSO
196	3.306978495253	4.38992666384699	DDMSO
197	3.12692521964939	4.35663214086433	DDMSO
198	3.54704952939115	4.33954679354428	DDMSO
199	3.24696073671847	4.30756652804777	DDMSO
200	3.24696073671847	4.2217017056188	DDMSO
1	0.366108327060677	0.651026807523678	ODMSO
2	0.366108327060677	0.646528568173142	ODMSO
3	0.366108327060677	0.640118577098627	ODMSO
4	0.366108327060677	0.63641877523281	ODMSO
5	0.366108327060677	0.635013075435767	ODMSO
6	0.366108327060677	0.636834862372735	ODMSO
7	0.366108327060677	0.634821900263369	ODMSO
8	0.366108327060677	0.628974189107672	ODMSO
9	0.366108327060677	0.62590414075093	ODMSO
10	0.366108327060677	0.624509686552264	ODMSO
11	0.366108327060677	0.623711249067544	ODMSO
12	0.366108327060677	0.628040804442435	ODMSO
13	0.366108327060677	0.623553810690275	ODMSO
14	0.366108327060677	0.623924915436694	ODMSO
15	0.366108327060677	0.622035654909469	ODMSO
16	0.366108327060677	0.625364352028866	ODMSO
17	0.366108327060677	0.633348726876069	ODMSO
18	0.366108327060677	0.634844391460122	ODMSO
19	0.366108327060677	0.63666617839709	ODMSO
20	0.426126085595215	0.639005262859369	ODMSO
21	0.426126085595215	0.644605570850787	ODMSO
22	0.426126085595215	0.649328722168851	ODMSO
23	0.426126085595215	0.652826103263893	ODMSO
24	0.426126085595215	0.65950598869944	ODMSO
25	0.426126085595215	0.66205873953087	ODMSO
26	0.426126085595215	0.669413360868997	ODMSO
27	0.426126085595215	0.67672299981362	ODMSO
28	0.426126085595215	0.682345799001791	ODMSO
29	0.426126085595215	0.69670642812838	ODMSO
30	0.426126085595215	0.713158738552968	ODMSO
31	0.486143844129752	0.732928500498577	ODMSO
32	0.486143844129752	0.757927465689185	ODMSO
33	0.486143844129752	0.789651298708846	ODMSO
34	0.486143844129752	0.83040534722471	ODMSO
35	0.546161602664289	0.880808119147474	ODMSO
36	0.546161602664289	0.942107875896915	ODMSO
37	0.606179361198826	1.01532796692528	ODMSO
38	0.666197119733364	1.10489915799284	ODMSO
39	0.726214878267901	1.21670289705043	ODMSO
40	0.786232636802438	1.36468372608472	ODMSO
41	0.906268153871513	1.56169536403985	ODMSO
42	1.02630367094059	1.8204003546876	ODMSO
43	1.2063569465442	2.17119555043921	ODMSO
44	1.44642798068235	2.65705038269069	ODMSO
45	1.80653453188957	3.34771005257211	ODMSO
46	2.40671211723494	4.36932768266928	ODMSO
47	3.54704952939115	5.81013623784297	ODMSO
48	5.10751125128912	7.23349162433658	ODMSO
49	7.44820383413608	9.04830629031065	ODMSO
50	10.5091095193975	11.3030262735705	ODMSO
51	4.84695139613401	7.32629902227878	ODMSO
52	2.05122805177821	5.55064448493361	ODMSO
53	1.19851413515288	4.14730613444482	ODMSO
54	0.92527377740745	3.24392028328561	ODMSO
55	0.804059567628302	2.6742394719912	ODMSO
56	0.749444549576346	2.2978261765319	ODMSO
57	0.721446344028171	2.03353732244509	ODMSO
58	0.686336847189407	1.83591167303322	ODMSO
59	0.659211446199016	1.69297147508272	ODMSO
60	0.630254821968603	1.59199036040146	ODMSO
61	0.618535077031966	1.51266981119864	ODMSO
62	0.615371954594623	1.4509409934586	ODMSO
63	0.608462245265784	1.39719016388023	ODMSO
64	0.600177585345373	1.3542627169148	ODMSO
65	0.591841785548909	1.3120729693478	ODMSO
66	0.578549564251846	1.27710511346139	ODMSO
67	0.570539186069058	1.25383059069673	ODMSO
68	0.557900598996498	1.22934730293547	ODMSO
69	0.572583213605355	1.21203005306811	ODMSO
70	0.56922064993104	1.19621111992199	ODMSO
71	0.577670925894921	1.18755088726113	ODMSO
72	0.576650623999834	1.16918083037339	ODMSO
73	0.566364763635774	1.161687637408	ODMSO
74	0.56127718629521	1.15209438445914	ODMSO
75	0.557179788186301	1.14261052279045	ODMSO
76	0.55874090612458	1.13932605407065	ODMSO
77	0.552864315843694	1.12573106128214	ODMSO
78	0.548344066611	1.12649977201099	ODMSO
79	0.556185511026864	1.13341402766052	ODMSO
80	0.547220739579604	1.12774998792418	ODMSO
81	0.562957269975117	1.13145194326574	ODMSO
82	0.554472679046527	1.12671108716518	ODMSO
83	0.55516426644447	1.12106678740359	ODMSO
84	0.543769917549755	1.11392843802751	ODMSO
85	0.554111323312285	1.11499547777123	ODMSO
86	0.555380615446821	1.1181027900194	ODMSO
87	0.562030704920879	1.11317155967697	ODMSO
88	0.567650478447284	1.11655355477099	ODMSO
89	0.566718207765143	1.1114366599465	ODMSO
90	0.547988230097949	1.11317674006668	ODMSO
91	0.557192619519384	1.11285334740424	ODMSO
92	0.558847991144943	1.11304169795333	ODMSO
93	0.558224382422382	1.10244721939408	ODMSO
94	0.559659267347373	1.1006562917896	ODMSO
95	0.561481416077457	1.09740953121278	ODMSO
96	0.569783976856729	1.09548652984221	ODMSO
97	0.567844786134847	1.09056014197607	ODMSO
98	0.570318003984906	1.09690311581869	ODMSO
99	0.560871244743409	1.09491761217095	ODMSO
100	0.555884036611397	1.09044568636197	ODMSO
101	0.566659814436032	1.08648861433655	ODMSO
102	0.563392507533882	1.08767809066856	ODMSO
103	0.564750436210403	1.10040345897575	ODMSO
104	0.579979301223173	1.10409229563594	ODMSO
105	0.577143051153013	1.10495163576908	ODMSO
106	0.58142203580333	1.10936840051816	ODMSO
107	0.580839297209964	1.11484376770823	ODMSO
108	0.570439056341773	1.11134263463201	ODMSO
109	0.575918910488599	1.11579480159432	ODMSO
110	0.584639007084004	1.12515771543761	ODMSO
