Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
C12orf49,0.0012464333891603445,0.0010091274224463978,0.0007533141904305596,0.0015084874970595326,0.0033794667792633767,0.05127711141965953,0.005131574462623167,0.0026887312339414896,0.1574500305468086,0.013150078421465795,0.0030896753283533064,0.010207554534786589,0.0016795005626733888,0.0011081100290269556,0.009167805272317815,0.0009352510702523004,2,HCTDMSO2h,0.5519463087248323,0.6005901716138914,0.6827410097459179
C12orf4,9.051885046908872e-5,2.542092085603488e-5,0.00011908248518313942,0.002680473379376114,0.011609274810464077,0.11871330458440855,0.0021951457970854683,0.03726327978777659,0.5233081063911824,0.007703021700840524,0.0040408287851484955,0.019951233502933735,0.0004970578684825867,0.0025365871744478996,0.018782554192471553,0.0003697231727242198,2,HCTDMSO2h,0.06943699731903485,0.06997743101725737,0.07061092988768095
C12orf5,0.002891872764938477,0.0026858840012952247,0.001996392781773406,0.0035636864040329533,0.0048422108285635,0.03144812559450391,0.005058880270971333,0.0035504779902963517,0.09314491688245137,0.009507334862770946,0.004329306257429514,0.006065118527505198,0.002462502445701983,0.0023156239057517264,0.0055028319015678825,0.0008912802151885479,2,HCTDMSO2h,0.5808704997313273,0.6405582965021146,0.735587669775074
C12orf60,4.342932314630914,0.0014695680311049531,0.00012531896991420835,0.007135851175206034,0.024293821239126,0.08110190793196723,0.0010554704211002308,0.10549309918747528,0.3116055926776759,0.004186949001800987,0.007509172976218665,0.007059880887782137,0.0002607464029674302,0.005478265446793886,0.006657478160682995,0.0001236742173858098,2,HCTDMSO2h,0.035111230233181454,0.03387843174469398,0.031499404910839836
C12orf61,0.436852727211533,0.004694142572449595,6.049083535961526e-6,0.0024808826440259296,0.0016175081464271433,0.27478317370749566,0.003712190171812468,0.0068095152083330985,1.615468611115444,0.02773136608932573,0.0004133336847630711,0.05678669872566658,0.0007411003650314362,0.00031879646947551916,0.0490091185794502,0.0006209885379495417,2,HCTDMSO2h,0.004824443848834093,0.0048011685903835396,0.004754842653837358
C12orf65,0.007214998258677304,0.036678888611240384,0.011346628587298117,0.005541286439893172,0.005063942433228162,0.036326532668034886,0.010749404179297626,0.002719079998833384,0.08129794594267678,0.015995921005524206,0.0050302618526207,0.010893636243170406,0.005847810602881959,0.002093812591044409,0.009249544663329537,0.0023159621786079465,2,HCTDMSO2h,0.6731078904991948,0.8018908777852978,1.0854167635680922
C12orf66,5.881817271158684e-5,1.4170682793639684e-5,0.0006114519724961361,0.007706976615305487,0.022501617182600044,0.04169504660085801,0.0016888402375932422,0.07117414887415405,0.20940410198747708,0.004391922569473422,0.008093907464198791,0.003590032094046138,0.0007816970522860397,0.005973275280098021,0.00332716465570401,0.00023978150820232598,2,HCTDMSO2h,0.12784776199410344,0.12919233919292755,0.1292761119397344
C12orf73,3.2385391636809316e-5,1.1853383928467927e-5,0.0005205619170028496,0.0013622099554772892,0.002672854454431595,0.046354899518426786,0.005072124769307179,0.0017907651561917565,0.15738589059086613,0.014445660148962123,0.002533240909919943,0.008004635474112407,0.0015055758463693712,0.000998039542180269,0.007436374615370091,0.0008566828817342121,2,HCTDMSO2h,0.5596994902066006,0.612413969259198,0.6954777781158714
C12orf76,6.337464048722742e-5,2.627801468356005e-6,0.0007598982112760582,0.005051041799740864,0.04120956785269315,0.034662016037200837,0.0014715617979217275,0.13256869955013742,0.24383370493223588,0.002905505926506077,0.014021998520143747,0.002525401189108241,0.0008904378825833824,0.010534591783675855,0.0023439988773227066,0.00013241574178885212,2,HCTDMSO2h,0.28893058161350843,0.2880012953687049,0.27247692872386753
C14orf119,0.004976316376812343,0.003048634208559928,0.00910386491603149,0.004694993907820981,0.006008964796784387,0.009591385819777976,0.011242983464312678,0.0035456932025302755,0.036876290982760074,0.011082304933978798,0.0053482646934124006,0.003481849535585246,0.009316815817163203,0.0021374345471365194,0.0023711111175717505,0.0013485686488965993,2,HCTDMSO2h,2.4047299113141625,3.0616707211934617,4.217328511736824
C14orf132,4.026826668727141e-5,5.813642157989473e-6,0.00022502689613396407,0.0039886442455409465,0.020230046666146594,0.07021693895570258,0.001633519943074541,0.09711692662496674,0.289217658354127,0.005539180703015166,0.00639489885551997,0.007966535813233025,0.0004408899497974266,0.004171240657171271,0.007519878529581631,0.00021626733571782796,2,HCTDMSO2h,0.09863307424283034,0.09908952792244397,0.09890782077365108
C14orf142,1.8070152206130727e-5,8.062467683855603e-6,0.0002235589790115266,0.0007241299065187304,0.002093361129043702,0.06420101428360285,0.005081284213192445,0.008992769895208738,0.2156471238536341,0.016314879139443635,0.0014749189118164984,0.01261651025463922,0.001279055311592265,0.0004886696652804416,0.01172607229343522,0.0009373624737120088,2,HCTDMSO2h,0.42749932993835416,0.46023547808853515,0.49565208586852355
C14orf159,9.8923994950357e-5,1.3743882901528728e-5,8.811619161426056e-5,0.00041981568566024324,0.01037939836581389,0.1262518974989604,0.0024758709589143553,0.04642586316546451,0.3235234900672797,0.0064668579035419655,0.0032389518889152065,0.029697910844925835,0.0006554292895511655,0.001699243649741851,0.027236570046879384,0.0005244459425449511,2,HCTDMSO2h,0.36832214765100674,0.37494282239538756,0.3776129316818366
C14orf166,0.003265068202175811,0.006340075359758135,0.011064471688567667,0.0011607048636328994,0.0035179877450472363,0.0140657732843509,0.016642492006739985,0.0006672265970952239,0.027985513812911245,0.019867029915456438,0.003444446626392743,0.007632964860817017,0.012095016601193151,0.0004417417849173072,0.0031698704685113616,0.0025593691304489526,2,HCTDMSO2h,6.480344641895531,10.854352492961318,19.694098384026635
C14orf182,2.1817379287761176e-5,3.9807378336309865e-5,0.007084463762920123,0.040580811447540006,0.004625716411601463,0.032651429548766576,0.011168282801900655,0.0058256794746090485,0.2565351012587693,0.031311410148617894,0.0024846208875864413,0.005009262966741452,0.008107375869729427,0.0019428622999005207,0.004206357226949451,0.0015601441932282406,2,HCTDMSO2h,0.12362563689997319,0.1373045270552728,0.1641357572161313
C14orf28,0.280588938736711,1.5817277992185266e-5,5.426660084716894e-5,0.0010970016214017554,0.011181799644215297,0.1621546393665827,0.0021870745282855353,0.04781143567992257,0.4799627103400072,0.007113763351581648,0.0038044063918494663,0.030222557052997416,0.0004341353035812148,0.0023601878665673853,0.028480416727332328,0.00035615571340907263,2,HCTDMSO2h,0.09892761394101876,0.09879241567178662,0.09759397147134287
C14orf2,6.685964239760289e-5,0.00016075606975961905,0.00061377859203218,3.052116727661467e-5,7.4101435078993e-5,0.0009332968184677359,0.001946258500256507,7.304873632777628e-5,0.005602635104459597,0.008917587070351929,7.194497434902953e-5,0.0002130240563867154,0.0007146301596378139,5.3980869538649575e-6,6.01564431424256e-5,0.0001156301177143962,2,HCTDMSO2h,11.813275769023207,31.662381767988137,93.53568045864522
C14orf37,2.1770445311087716,0.0007153585225674276,7.899347258216789e-6,0.0010912704404054676,0.0033201710124742974,0.2430925615897051,0.0021118707521915322,0.024007275315690496,0.7616306039759652,0.006631587375099474,0.0008360305806029969,0.060332319793538716,0.0005499444585261684,0.0005859750884924365,0.052153848958473394,0.00046731689617416977,2,HCTDMSO2h,0.014473331546502278,0.0142638542204473,0.01385096323792028
C14orf79,1.3947228156403798e-5,2.057508725390242e-5,0.0004804737482777535,0.0048273029963688515,0.0042824708785345975,0.07174181976469816,0.0041847692983257604,0.018441544397032338,0.26422609662532665,0.012186537231651116,0.002139621429212049,0.011608104513451612,0.001153373512622386,0.0011279765663567618,0.010635579424489179,0.0007088029063864018,2,HCTDMSO2h,0.08040739748056822,0.08466303424171255,0.09162789180154898
C14orf80,1.371088253364556e-5,1.4655136780678937e-5,0.0007683256121444915,0.003314439979517456,0.0019492344408543049,0.043359222152269415,0.005942537651013764,0.0012084572103241455,0.13247307013726684,0.014995128282323121,0.001867398836917646,0.00824820608731568,0.0019448408805349988,0.0008072872124106716,0.007416294670477474,0.0010211390713628294,2,HCTDMSO2h,0.22392062215071062,0.24886733185952176,0.29169215931792875
C14orf93,4.6533724166204036e-5,1.4245556729509336e-5,0.00028562900754674364,0.0063447295735097305,0.01984332619124224,0.0686507713544454,0.0017372839544391168,0.08951754284598908,0.2533845138280629,0.005677826676354401,0.00602453184420545,0.008636876952799775,0.0005491193617044945,0.004116153697168711,0.008078675612093734,0.00028709633667203544,2,HCTDMSO2h,0.06891928130866184,0.06953278216778597,0.07030558032803934
C15orf27,1.1427778264375487e-5,3.6661977141901274e-5,0.00013432802869292905,0.0030936710838471273,0.0031445111949695115,0.12721349690684505,0.003440211868995428,0.018302312102867764,0.43479924178127705,0.010050437697297434,0.0008723018826787858,0.027059424109466098,0.0008859973888783131,0.0005465804122382464,0.02387401173625696,0.0007127923697198312,2,HCTDMSO2h,0.020637898686679174,0.02128407445755178,0.022527628716139374
C15orf39,0.00010001366706696749,9.931124304746826e-6,0.0009508681756538652,0.016936046744547885,0.03311969680913912,0.0302392804134816,0.0018455652395423887,0.1268943881694714,0.21170203069490814,0.004176058400690046,0.009834045564511775,0.002455646734035391,0.0011797177720206233,0.007826561714904815,0.00221417068425582,0.0002543483885097665,2,HCTDMSO2h,0.10214477211796247,0.1024350782367443,0.10186099767344198
C15orf40,1.7287249587826337e-5,5.568981392169901e-6,0.0008032497898620057,0.0019484943042431596,0.003149087087866139,0.025069077789921155,0.0033204621436689866,0.0025879017894731007,0.08840987243343301,0.007621892886161079,0.002623117550707723,0.0031678650373474495,0.0013375527812569492,0.0015593462327792066,0.002885414078390283,0.0004471489730368145,2,HCTDMSO2h,0.6235578213039977,0.6785220346899676,0.7361729459655832
