"","Gene","Rate01","Rate10","Eject","Decay","Rate01Mean","Rate10Mean","EjectMean","Rate01SD","Rate10SD","EjectSD","Rate01Median","Rate10Median","EjectMedian","Rate01MAD","Rate10MAD","EjectMAD","Model","Condition","Expression","Variance","ThirdMoment","BurstMean","BurstSD","BurstMedian","BurstMAD","HK","HK_new","HK_both","TF","Type"
"370","SARS",0.0034645798580394,0.0303861324800104,0.0310618642414459,0.00127384637286305,0.00327722469760657,0.0443566931761787,0.0421068303560148,0.000477306710877934,0.0834030048055984,0.0672465633460072,0.00329944715973149,0.02182503057979,0.0240513845985725,0.000330899733583362,0.0125402899765621,0.0104191311266782,2,"HCTDMSOr1",4.9913309535951,8.9438310179557,21.139794318973,1.191164468832,0.330852495136874,1.1075661133799,0.266380087663248,"yes","yes","yes","no","HK"
"371","SART1",0.00334992306625712,3.77466312063241,0.981121115698435,0.00146406812306827,0.0027342084697575,0.0532321018968782,0.0154651442113348,0.000742608190045876,0.128787884871575,0.0332641121099749,0.00273437171282231,0.0200197893073252,0.00698875089068787,0.000458157366435154,0.0146646257364288,0.00391657719736367,2,"HCTDMSOr1",1.18781725888325,1.49873482954985,2.25144795420707,0.472083941272248,0.621143897021915,0.361220462152943,0.118712273481117,"yes","yes","yes","no","HK"
"372","SART3",0.0042820739941279,0.0113598225288618,0.0110686615774507,0.00338431933119338,0.0043904044916226,0.0292641124184425,0.0188824154033681,0.00137321552773878,0.0756316776479598,0.0336015278733159,0.00437347707970119,0.0122007855647665,0.0114395819606235,0.000977961803313916,0.00781121605200409,0.00396807010432798,2,"HCTDMSOr1",1.7906265919511,2.54047250600708,4.1892102389047,1.22517958381798,1.17814627958476,0.940650645946837,0.465394240255412,"yes","yes","yes","no","HK"
"373","SAV1",0.00305895055476643,5.917206329308,6.49065561052036,0.00257172119341723,0.00286168286353645,0.117590126640742,0.136899405132042,0.00023335572740124,0.163863340359061,0.179289443016536,0.00286012471451502,0.0708512043807609,0.0857306596161485,0.000154303250225848,0.0360943862112835,0.0396848703906526,2,"HCTDMSOr1",2.60827374872319,5.54675483415255,17.9447286037235,1.240944670514,0.136950376457809,1.22248165928114,0.123228004560656,"yes","yes","yes","no","HK"
"374","SBDS",0.00121407860417337,0.00169554401769559,0.00432707147603587,0.000663155063993073,0.00143356682430607,0.00575875459046052,0.00751308814009816,0.000360807154407445,0.0177773804936285,0.0133983443691432,0.00138472033703289,0.00247781838509854,0.00504007928780098,0.000233042693667221,0.00114147634528193,0.00104267494740534,2,"HCTDMSOr1",5.44523688232298,9.2627931558073,16.1873144091424,2.1997316676494,0.964539634944483,2.03417492036952,0.861319084466283,"yes","yes","yes","no","HK"
"375","SCAND1",0.0095518042831569,0.0285793427502636,0.0224827694525407,0.00307219429524732,0.0087096467618799,0.0485152260595249,0.0303373412616467,0.00257963769070674,0.126083003481947,0.0533946876661356,0.00865477211827199,0.0197856131858427,0.0184259891562149,0.00186324508259253,0.0129286238681236,0.00634717622722604,2,"HCTDMSOr1",3.6663280853225,5.16392968616399,8.72130715356764,1.19790386302325,0.871870742283593,0.934928663134147,0.486270574664285,"yes","yes","yes","no","HK"
"376","SDHB",0.00015282979086273,0.000128612966379997,0.0004870044949094,7.16775667960225e-05,0.000252663777687491,0.00580348018776151,0.00429436006004494,9.12102571175188e-05,0.0301387581771019,0.0199490269621825,0.000237331165833958,0.000427317629509799,0.000740607053296243,6.2346860467942e-05,0.000284111678374793,0.000235724594948935,2,"HCTDMSOr1",7.37959183673469,12.0089712619742,18.4769251077357,2.06332033466253,1.33658557676522,1.73519562325208,1.20579397313982,"yes","yes","yes","no","HK"
"377","SEC61B",0.000396006125967525,0.000310501010002184,0.00253701011918195,0.000155340616687389,0.000443778338915529,0.0016391388875531,0.00441610594209836,0.000118876950395164,0.0137551090258084,0.0189589198273908,0.000426588687669771,0.000371148425606461,0.00266049806947514,4.80938494571815e-05,9.79556018302747e-05,0.000199164865470843,2,"HCTDMSOr1",18.3083588175331,41.9828964910257,68.2734537955023,7.31839109200275,2.24867488523081,7.16803040126483,2.08693812358,"yes","yes","yes","no","HK"
"378","SEC62",0.00615204775901774,0.00647064933430597,0.0265713650450777,0.00231401458832666,0.00650033531988841,0.00887716446861736,0.0292073191607483,0.00134938549305904,0.00749671115635286,0.00827509328568605,0.00634046362094773,0.00701254243927535,0.0272754671741301,0.000858807904979997,0.00237088832464976,0.0031183889112498,2,"HCTDMSOr1",11.1927587965324,21.3845676567623,39.3839139861069,4.09821335945354,1.46705051792431,3.89046322223073,1.36320417876155,"yes","yes","yes","no","HK"
"379","SENP5",0.00404467441202454,0.00509200001060625,0.0101044275399821,0.00591493782311533,0.00441957247679292,0.0131342641147508,0.0134123137162234,0.00228985802411298,0.0358266997557041,0.0147051582133297,0.00412466432815155,0.00526772893462699,0.0101795971501529,0.0015103766774685,0.00348242438506789,0.00209476836206519,2,"HCTDMSOr1",1.51244286439817,2.07005848137239,3.08581610381397,3.42392438412221,6.14194895055689,1.93496551823099,1.39657569527015,"yes","yes","yes","no","HK"
