FC	cat
1.6632198784553	no
0.352549227876393	REnh
1.01712273122715	no
1.28943761005183	no
1.42354127353223	no
0.910944557443369	no
0.742048607750654	no
0.920923228863746	no
1.41157475995791	no
1.07621584262762	no
0.824685150430485	no
1.09257481420471	no
0.634350315855833	promoter
0.846978150163473	no
0.803908404699784	no
0.43421199144756	REnh
0.316650799502868	REnh
0.266081306044316	REnh
0.507924703140004	promoter
0.585613572765625	promoter
0.349850191993674	REnh
0.342656361554319	no
0.335333270719917	no
1.30783346996523	no
0.620217371782703	promoter
0.627432295215745	promoter
0.671487037016875	promoter
0.553067527712911	promoter
0.506359364032589	promoter
0.619143021062446	promoter
0.559445801049295	promoter
1.74514350513163	no
0.64053193778999	promoter
0.667980421967684	promoter
0.475610319398832	promoter
0.502678089121411	promoter
0.433544391923463	no
0.385389804218927	REnh
0.889524808133016	no
0.350383525103112	REnh
0.572982716970559	promoter
0.765085912617743	promoter
0.45374282509132	REnh
1.10139743071772	no
0.950527264620981	no
0.946695655460899	REnh
1.40780771819378	no
0.49253164838144	no
0.709995565222612	REnh
0.928734706011738	no
0.949875721923333	promoter
0.991540501374791	no
0.44773758078815	promoter
0.463965363803458	REnh
0.42529807540246	REnh
0.689212891017071	promoter
1.16202781756237	no
1.001794643034	REnh
0.464502848937967	promoter
0.420972710810238	no
0.212260841370723	REnh
0.314474841700903	REnh
0.317603637199304	REnh
0.761362632822001	promoter
1.20741845503095	no
0.959658170140875	promoter
0.770695942546329	promoter
1.01911654499471	REnh
0.542170194888525	REnh
0.436638804802859	promoter
0.800979968032751	promoter
0.620015098127102	promoter
0.563257581129755	promoter
0.374160739200771	REnh
0.390251730549328	no
0.43527809494173	no
0.819664272235569	promoter
1.21291386065873	no
1.07758851362977	no
0.465197073012559	REnh
1.00575126188635	no
0.389243317237147	REnh
1.00528375667689	no
0.518656413632581	promoter
0.576888529628845	no
0.445817742477479	REnh
0.929715637531175	promoter
1.09814438389717	no
0.881637180698527	no
1.01829308888675	promoter
1.01491679798008	no
0.463893801802416	no
0.944686903836025	REnh
1.04064198196711	no
0.942551963899505	no
0.726999228617094	promoter
0.375944353338897	REnh
0.343721166804423	promoter
0.629600525640769	promoter
0.43194390142797	REnh
1.06763658590919	REnh
0.433818076912998	no
0.534174902444397	promoter
0.491412016245738	promoter
0.831176643757442	REnh
1.07291444513783	no
1.07291444513783	no
0.692467960356873	promoter
0.959658170140875	promoter
1.03285864078472	no
1.25046367624417	no
1.26519333284853	no
0.480136470775159	REnh
1.28902602884757	no
0.752723793830174	promoter
0.720491024934426	no
0.41696740474547	REnh
0.622624801699532	REnh
0.777300323083226	no
1.16696506558085	no
1.02289758827207	REnh
0.743647170405798	promoter
1.06167711097796	no
0.559204686326501	no
1.43764882959802	no
0.984846048622263	promoter
0.592011639465021	promoter
0.913678654802161	REnh
0.928317276276052	no
0.234482781354621	REnh
0.414297890134145	promoter
0.302954871340011	REnh
1.14480122547352	no
0.575977607114537	REnh
0.645867966135877	promoter
0.790893344056948	promoter
1.26519333284853	REnh
0.456284172266643	promoter
